Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2025-08-25,49.47999954223633,49.47999954223633,49.09000015258789,49.209999084472656,502106,0.0,0.0
2025-08-26,49.150001525878906,49.27000045776367,48.150001525878906,48.25,1455774,0.0,0.0
2025-08-28,48.2400016784668,48.43000030517578,47.5,47.560001373291016,1569285,0.0,0.0
2025-08-29,48.040000915527344,48.040000915527344,47.09999847412109,47.18000030517578,1334162,0.0,0.0
2025-09-01,48.34999847412109,48.34999847412109,47.09999847412109,48.09000015258789,1058433,0.0,0.0
2025-09-02,48.34000015258789,48.630001068115234,48.02000045776367,48.29999923706055,918224,0.0,0.0
2025-09-03,48.59000015258789,48.81999969482422,48.27000045776367,48.75,689151,0.0,0.0
2025-09-04,48.25,49.380001068115234,47.27999877929688,48.27000045776367,1702192,0.0,0.0
2025-09-05,49.470001220703125,49.470001220703125,48.09999847412109,48.58000183105469,801617,0.0,0.0
2025-09-08,48.58000183105469,48.959999084472656,48.33000183105469,48.540000915527344,813604,0.0,0.0
2025-09-09,48.40999984741211,48.790000915527344,48.29999923706055,48.52999877929688,609098,0.0,0.0
2025-09-10,48.220001220703125,49.040000915527344,48.220001220703125,48.9900016784668,846918,0.0,0.0
2025-09-11,50.209999084472656,50.209999084472656,48.72999954223633,48.95000076293945,772704,0.0,0.0
2025-09-12,49.43999862670898,50.16999816894531,48.83000183105469,49.2400016784668,672472,0.0,0.0
2025-09-15,48.0,49.470001220703125,48.0,49.310001373291016,836389,0.0,0.0
2025-09-16,48.59999847412109,49.650001525878906,47.29999923706055,49.58000183105469,790961,0.0,0.0
2025-09-17,49.56999969482422,50.09999847412109,49.45000076293945,49.97999954223633,1508911,0.0,0.0
2025-09-18,50.15999984741211,50.470001220703125,49.70000076293945,49.84999847412109,809904,0.0,0.0
2025-09-19,49.84999847412109,50.04999923706055,49.619998931884766,49.7400016784668,842286,0.0,0.0
2025-09-22,50.040000915527344,50.040000915527344,49.29999923706055,49.34000015258789,1108941,0.0,0.0
2025-09-23,48.95000076293945,49.900001525878906,48.95000076293945,49.290000915527344,786133,0.0,0.0
